city	state	avg_daylight_hours	apparition_type	event_type	Ozone_ppb_Description	SO2_ppb_Description	CO_ppb_Description
Spokane	washington	11.27	Partial Apparition	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Tacoma	washington	11.27	Ghost	Supernatural Phenomenon	Good Air Quality	Good Air Quality	Moderate Air Pollution
Waitsburg	washington	11.27	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Aurora	illinois	11.43	Ghost Light	Accident	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Anderson	indiana	11.47	Mist	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Chicago	illinois	11.43	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Georgetown	illinois	11.43	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Morris/Minooka	illinois	11.43	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
New Lenox	illinois	11.43	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
New Lenox	illinois	11.43	Shadow Figure	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Peoria	illinois	11.43	Mist	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Poland	indiana	11.47	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Rockfard	illinois	11.43	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Shelbyville	indiana	11.47	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Tolono	illinois	11.43	Shadow Figure	Death	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Terre Haute	indiana	11.47	Ghost Light	Accident	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Viola	illinois	11.43	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Woodstock	illinois	11.43	Ghost	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Annandale	virginia	11.5	Mist	Supernatural Phenomenon	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Danville	virginia	11.5	Ghost	War	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
Mount Vernon	virginia	11.5	Ghost	Murder	Moderate Air Pollution	Good Air Quality	Moderate Air Pollution
